0,s2,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err
1,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,acc
2,err,s4,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err
3,err,err,err,s12,s11,s16,err,err,s17,err,s10,err,err,err,err,err,s13,err,err,err,err,err,err,err,err,err
4,err,err,s20,err,err,err,err,err,err,err,err,s22,s23,s24,err,err,err,err,err,err,err,err,err,err,err,err
5,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,r1
6,err,err,err,s12,s11,s16,err,err,s17,err,s10,err,err,err,err,err,s13,err,err,err,err,err,err,err,err,err
7,err,err,err,s12,s11,s16,err,err,s17,err,s10,err,err,err,err,err,s13,err,err,err,err,err,err,err,err,err
8,err,err,err,s12,s11,s16,err,err,s17,err,s10,err,err,err,err,err,s13,err,err,err,err,err,err,err,err,err
9,err,err,err,s12,s11,s16,err,err,s17,err,s10,err,err,err,err,err,s13,err,err,err,err,err,err,err,err,err
10,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,r38
11,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,s29,err,err,err,err,err,err,err,err,err
12,err,err,err,err,err,err,err,err,err,err,err,err,err,err,s32,s31,s33,err,err,err,err,err,err,err,err,err
13,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,s34,err,err,err,err,err,err,err
14,err,err,err,s12,s11,s16,err,s39,err,err,err,err,err,err,err,err,s13,err,err,err,err,err,err,err,err,err
15,err,err,err,s12,s11,s16,err,err,err,s44,err,err,err,err,err,err,s13,err,err,err,err,err,err,err,err,err
16,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,s45,err,err,err,err,err
17,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,s46,err,err,err,err,err
18,err,err,err,r2,r2,r2,err,err,r2,err,r2,err,err,err,err,err,r2,err,err,err,err,err,err,err,err,err
19,err,err,s20,err,err,err,err,err,err,err,err,s22,s23,s24,err,err,err,err,err,err,err,err,err,err,err,err
20,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,s48,err,err,err
21,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,s50,err,err,err,err,err,err,err,err,err
22,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,r8,err,err,err,err,err,err,err,err,err
23,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,r9,err,err,err,err,err,err,err,err,err
24,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,r10,err,err,err,err,err,err,err,err,err
25,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,r11
26,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,r17
27,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,r23
28,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,err,r31
